Date,Canadian Dollar,UK Pound,U.S. Dollar
2/1/2007,1.1649,1.9701,1
3/1/2007,1.1699,1.9597,1
4/1/2007,1.1767,1.9449,1
5/1/2007,1.1755,1.94,1
8/1/2007,1.1777,1.9335,1
9/1/2007,1.1784,1.9425,1
10/1/2007,1.1772,1.9387,1
11/1/2007,1.1762,1.9383,1
12/1/2007,1.1702,1.95,1
15/1/2007,1.1681,1.9653,1
16/1/2007,1.1746,1.9672,1
17/1/2007,1.1737,1.9659,1
18/1/2007,1.1752,1.9715,1
19/1/2007,1.172,1.9735,1
22/1/2007,1.1759,1.9753,1
23/1/2007,1.1816,1.9874,1
24/1/2007,1.1824,1.9752,1
25/1/2007,1.1783,1.9711,1
26/1/2007,1.1798,1.961,1
29/1/2007,1.1816,1.9568,1
30/1/2007,1.1814,1.9651,1
31/1/2007,1.1792,1.9526,1
1/2/2007,1.1755,1.9685,1
2/2/2007,1.1838,1.9687,1
5/2/2007,1.1818,1.957,1
6/2/2007,1.182,1.9683,1
7/2/2007,1.1852,1.9718,1
8/2/2007,1.1853,1.9679,1
9/2/2007,1.1739,1.9471,1
12/2/2007,1.1746,1.9467,1
13/2/2007,1.1686,1.9425,1
14/2/2007,1.166,1.9551,1
15/2/2007,1.1639,1.9576,1
16/2/2007,1.1637,1.9489,1
19/2/2007,1.1639,1.9442,1
20/2/2007,1.1698,1.9488,1
21/2/2007,1.1612,1.9513,1
22/2/2007,1.1616,1.9504,1
23/2/2007,1.1585,1.9579,1
26/2/2007,1.16,1.9631,1
27/2/2007,1.1639,1.9647,1
28/2/2007,1.17,1.9567,1
1/3/2007,1.1713,1.9632,1
2/3/2007,null,1.9481,1
5/3/2007,1.1811,1.9217,1
6/3/2007,1.176,1.9287,1
7/3/2007,1.1713,1.9283,1
8/3/2007,null,1.9341,1
9/3/2007,1.1712,1.9316,1
12/3/2007,1.1692,1.9394,1
13/3/2007,1.1687,1.9291,1
14/3/2007,1.1754,1.9246,1
