Date,Canadian Dollar,UK Pound,U.S. Dollar
2/1/1995,null,null,1
3/1/1995,1.4035,1.5617,1
4/1/1995,1.4026,1.5605,1
5/1/1995,1.4002,1.561,1
6/1/1995,1.4002,1.5645,1
9/1/1995,1.4058,1.5537,1
10/1/1995,1.4125,1.5623,1
11/1/1995,1.414,1.563,1
12/1/1995,1.416,1.5585,1
13/1/1995,1.4106,1.5705,1
16/1/1995,1.4122,1.5697,1
17/1/1995,1.4212,1.5678,1
18/1/1995,1.4215,1.5755,1
19/1/1995,1.4211,1.5693,1
20/1/1995,1.4235,1.585,1
23/1/1995,1.4194,1.5865,1
24/1/1995,1.4144,1.6,1
25/1/1995,1.4147,1.5992,1
26/1/1995,1.4148,1.594,1
27/1/1995,1.415,1.5895,1
30/1/1995,1.419,1.5878,1
31/1/1995,1.4086,1.593,1
1/2/1995,1.4105,1.5802,1
2/2/1995,1.4064,1.583,1
3/2/1995,1.4026,1.575,1
6/2/1995,1.3982,1.5595,1
7/2/1995,1.3952,1.5583,1
8/2/1995,1.3948,1.5505,1
9/2/1995,1.3984,1.5537,1
10/2/1995,1.4018,1.5565,1
13/2/1995,1.4025,1.564,1
14/2/1995,1.3994,1.5547,1
15/2/1995,1.4043,1.5638,1
16/2/1995,1.4098,1.571,1
17/2/1995,1.4057,1.578,1
20/2/1995,1.4052,1.584,1
21/2/1995,1.3994,1.5797,1
22/2/1995,1.3984,1.5815,1
23/2/1995,1.3939,1.5903,1
24/2/1995,1.3939,1.5897,1
27/2/1995,1.3964,1.5823,1
28/2/1995,1.3935,1.579,1
1/3/1995,1.3964,1.581,1
2/3/1995,1.4036,1.5885,1
3/3/1995,1.4013,1.609,1
6/3/1995,1.4176,1.6492,1
7/3/1995,1.421,1.6225,1
8/3/1995,1.4085,1.6405,1
9/3/1995,1.4125,1.6132,1
10/3/1995,1.4087,1.5965,1
13/3/1995,1.4118,1.582,1
14/3/1995,1.4169,1.5863,1
15/3/1995,1.4156,1.585,1
16/3/1995,1.4138,1.5957,1
17/3/1995,1.4177,1.5888,1
20/3/1995,1.4082,1.5845,1
21/3/1995,1.4009,1.583,1
22/3/1995,1.4025,1.5853,1
23/3/1995,1.406,1.5895,1
24/3/1995,1.4014,1.597,1
27/3/1995,1.4015,1.593,1
28/3/1995,1.403,1.6006,1
29/3/1995,1.4032,1.6123,1
30/3/1995,1.3983,1.6132,1
31/3/1995,1.399,1.613,1
3/4/1995,1.3987,1.618,1
4/4/1995,1.394,1.6124,1
5/4/1995,1.392,1.614,1
6/4/1995,1.3895,1.6072,1
7/4/1995,1.3915,1.608,1
10/4/1995,1.3837,1.5983,1
11/4/1995,1.3799,1.5925,1
12/4/1995,1.3773,1.5903,1
13/4/1995,1.3735,1.5973,1
14/4/1995,null,null,1
17/4/1995,1.3662,null,1
18/4/1995,1.3693,1.6193,1
19/4/1995,1.3709,1.6137,1
20/4/1995,1.3706,1.6137,1
21/4/1995,1.3681,1.6035,1
24/4/1995,1.3655,1.6175,1
25/4/1995,1.365,1.611,1
26/4/1995,1.363,1.6075,1
27/4/1995,1.363,1.6165,1
28/4/1995,1.3596,1.6125,1
1/5/1995,1.3554,1.614,1
2/5/1995,1.3574,1.6172,1
3/5/1995,1.3641,1.6133,1
4/5/1995,1.3641,1.6167,1
5/5/1995,1.354,1.6092,1
8/5/1995,1.358,null,1
9/5/1995,1.358,1.5948,1
10/5/1995,1.3567,1.591,1
11/5/1995,1.3511,1.5725,1
12/5/1995,1.3533,1.568,1
15/5/1995,1.3588,1.5685,1
16/5/1995,1.3562,1.5605,1
17/5/1995,1.3565,1.5713,1
18/5/1995,1.3568,1.5737,1
19/5/1995,1.3567,1.575,1
22/5/1995,null,1.568,1
23/5/1995,1.3647,1.574,1
24/5/1995,1.3651,1.5695,1
25/5/1995,1.3695,1.5792,1
26/5/1995,1.3728,1.607,1
29/5/1995,1.3689,null,1
30/5/1995,1.3708,1.599,1
31/5/1995,1.3696,1.604,1
1/6/1995,1.3726,1.584,1
2/6/1995,1.3758,1.5962,1
5/6/1995,1.3769,1.5898,1
6/6/1995,1.3807,1.5904,1
7/6/1995,1.3802,1.5904,1
8/6/1995,1.3736,1.5913,1
9/6/1995,1.3766,1.5986,1
12/6/1995,1.3793,1.5962,1
13/6/1995,1.3839,1.5977,1
14/6/1995,1.3813,1.599,1
15/6/1995,1.3768,1.5995,1
16/6/1995,1.3822,1.603,1
19/6/1995,1.381,1.6,1
20/6/1995,1.3795,1.603,1
21/6/1995,1.3759,1.6039,1
22/6/1995,1.3759,1.6085,1
23/6/1995,1.3742,1.5977,1
26/6/1995,1.3722,1.596,1
27/6/1995,1.3752,1.5833,1
28/6/1995,1.3752,1.5807,1
29/6/1995,1.3761,1.5827,1
30/6/1995,1.3734,1.594,1
3/7/1995,null,1.5958,1
4/7/1995,1.3718,1.593,1
5/7/1995,1.3699,1.5935,1
6/7/1995,1.3692,1.5946,1
7/7/1995,1.3637,1.596,1
10/7/1995,1.3516,1.5937,1
11/7/1995,1.3539,1.5883,1
12/7/1995,1.3552,1.5928,1
13/7/1995,1.359,1.5887,1
14/7/1995,1.3591,1.5963,1
17/7/1995,1.3558,1.5939,1
18/7/1995,1.3603,1.596,1
19/7/1995,1.3601,1.5937,1
20/7/1995,1.3633,1.5978,1
21/7/1995,1.3595,1.5946,1
24/7/1995,1.3578,1.5964,1
25/7/1995,1.3556,1.5962,1
26/7/1995,1.3576,1.5938,1
27/7/1995,1.3602,1.5929,1
28/7/1995,1.364,1.5977,1
31/7/1995,1.3697,1.6025,1
1/8/1995,1.3669,1.5966,1
2/8/1995,1.3569,1.6053,1
3/8/1995,1.3586,1.6033,1
4/8/1995,1.356,1.6032,1
7/8/1995,null,1.6057,1
8/8/1995,1.3561,1.6005,1
9/8/1995,1.3603,1.5997,1
10/8/1995,1.358,1.5988,1
11/8/1995,1.3586,1.5828,1
14/8/1995,1.363,1.5767,1
15/8/1995,1.3604,1.5729,1
16/8/1995,1.3584,1.5533,1
17/8/1995,1.3588,1.5405,1
18/8/1995,1.3591,1.5457,1
21/8/1995,1.3588,1.5427,1
22/8/1995,1.3574,1.5364,1
23/8/1995,1.358,1.5366,1
24/8/1995,1.3564,1.5422,1
25/8/1995,1.3458,1.5422,1
28/8/1995,1.3403,null,1
29/8/1995,1.3396,1.5485,1
30/8/1995,1.338,1.5453,1
31/8/1995,1.343,1.5525,1
1/9/1995,1.343,1.5515,1
4/9/1995,null,1.5587,1
5/9/1995,1.3427,1.5551,1
6/9/1995,1.3391,1.5488,1
7/9/1995,1.3387,1.5508,1
8/9/1995,1.3446,1.5447,1
11/9/1995,1.343,1.5522,1
12/9/1995,1.3451,1.553,1
13/9/1995,1.3543,1.55,1
14/9/1995,1.3692,1.5479,1
15/9/1995,1.366,1.5476,1
18/9/1995,1.364,1.5451,1
19/9/1995,1.359,1.5443,1
20/9/1995,1.3608,1.5469,1
21/9/1995,1.357,1.5615,1
22/9/1995,1.352,1.576,1
25/9/1995,1.3461,1.5712,1
26/9/1995,1.3458,1.5694,1
27/9/1995,1.3493,1.5665,1
28/9/1995,1.3512,1.5805,1
29/9/1995,1.3438,1.58,1
2/10/1995,1.3391,1.5822,1
3/10/1995,1.3282,1.594,1
4/10/1995,1.3308,1.5802,1
5/10/1995,1.3351,1.5842,1
6/10/1995,1.3312,1.5855,1
9/10/1995,null,1.5857,1
10/10/1995,1.3355,1.579,1
11/10/1995,1.3371,1.5781,1
12/10/1995,1.3373,1.5723,1
13/10/1995,1.337,1.5729,1
16/10/1995,1.3371,1.5758,1
17/10/1995,1.3385,1.5723,1
18/10/1995,1.339,1.5755,1
19/10/1995,1.337,1.5717,1
20/10/1995,1.3505,1.5719,1
23/10/1995,1.3683,1.579,1
24/10/1995,1.3705,1.5821,1
25/10/1995,1.3664,1.5803,1
26/10/1995,1.3657,1.5784,1
27/10/1995,1.37,1.5822,1
30/10/1995,1.3616,1.575,1
31/10/1995,1.3395,1.5746,1
1/11/1995,1.3475,1.5798,1
2/11/1995,1.3424,1.5792,1
3/11/1995,1.3473,1.577,1
6/11/1995,1.3512,1.5802,1
7/11/1995,1.3586,1.5787,1
8/11/1995,1.3572,1.5813,1
9/11/1995,1.3556,1.5783,1
10/11/1995,1.3517,1.576,1
13/11/1995,null,1.5675,1
14/11/1995,1.3534,1.5597,1
15/11/1995,1.3554,1.5628,1
16/11/1995,1.3557,1.5593,1
17/11/1995,1.3517,1.5587,1
20/11/1995,1.3513,1.546,1
21/11/1995,1.3527,1.5547,1
22/11/1995,1.3529,1.559,1
23/11/1995,1.3538,1.5633,1
24/11/1995,1.3537,1.5643,1
27/11/1995,1.3517,1.5588,1
28/11/1995,1.356,1.5482,1
29/11/1995,1.3585,1.5358,1
30/11/1995,1.3584,1.5345,1
1/12/1995,1.3658,1.5268,1
4/12/1995,1.3661,1.5351,1
5/12/1995,1.367,1.5405,1
6/12/1995,1.3654,1.54,1
7/12/1995,1.3684,1.538,1
8/12/1995,1.3757,1.5303,1
11/12/1995,1.3797,1.5355,1
12/12/1995,1.3772,1.5335,1
13/12/1995,1.3762,1.532,1
14/12/1995,1.3742,1.5374,1
15/12/1995,1.3743,1.5405,1
18/12/1995,1.3759,1.5382,1
19/12/1995,1.3767,1.5428,1
20/12/1995,1.3671,1.5389,1
21/12/1995,1.3615,1.5383,1
22/12/1995,1.3633,1.5394,1
26/12/1995,null,null,1
27/12/1995,1.3595,1.5535,1
28/12/1995,1.3607,1.5548,1
29/12/1995,1.3652,1.55,1
2/1/1996,1.357,1.548,1
3/1/1996,1.3525,1.5539,1
4/1/1996,1.3538,1.5498,1
5/1/1996,1.357,1.5465,1
8/1/1996,1.3607,1.5508,1
9/1/1996,1.3613,1.5492,1
10/1/1996,1.3647,1.5455,1
11/1/1996,1.365,1.545,1
12/1/1996,1.3624,1.5427,1
15/1/1996,1.364,1.546,1
16/1/1996,1.3666,1.5417,1
17/1/1996,1.3687,1.5347,1
18/1/1996,1.3636,1.5235,1
19/1/1996,1.365,1.5138,1
22/1/1996,1.3687,1.5102,1
23/1/1996,1.371,1.5143,1
24/1/1996,1.3702,1.5105,1
25/1/1996,1.3768,1.5158,1
26/1/1996,1.3821,1.5078,1
29/1/1996,1.3814,1.5037,1
30/1/1996,1.3772,1.5068,1
31/1/1996,1.3743,1.5067,1
1/2/1996,1.3737,1.5127,1
2/2/1996,1.3746,1.519,1
5/2/1996,1.3776,1.5298,1
6/2/1996,1.3735,1.539,1
7/2/1996,1.3659,1.5367,1
8/2/1996,1.3695,1.534,1
9/2/1996,1.3721,1.5363,1
12/2/1996,1.3726,1.5317,1
13/2/1996,1.372,1.531,1
14/2/1996,1.3787,1.5398,1
15/2/1996,1.3787,1.5389,1
16/2/1996,1.3817,1.5407,1
19/2/1996,1.386,1.5473,1
20/2/1996,1.3811,1.5442,1
21/2/1996,1.3785,1.5435,1
22/2/1996,1.3755,1.5425,1
23/2/1996,1.3771,1.5385,1
26/2/1996,1.3752,1.541,1
27/2/1996,1.3745,1.5402,1
28/2/1996,1.3748,1.5385,1
29/2/1996,1.3722,1.533,1
1/3/1996,1.3703,1.5275,1
4/3/1996,1.3713,1.5288,1
5/3/1996,1.372,1.528,1
6/3/1996,1.3716,1.5288,1
7/3/1996,1.3708,1.5262,1
8/3/1996,1.3666,1.5283,1
11/3/1996,1.3668,1.523,1
12/3/1996,1.3677,1.5203,1
13/3/1996,1.3675,1.5228,1
14/3/1996,1.3676,1.5245,1
15/3/1996,1.3636,1.526,1
18/3/1996,1.3593,1.5292,1
19/3/1996,1.3587,1.5305,1
20/3/1996,1.3597,1.5372,1
21/3/1996,1.361,1.5378,1
22/3/1996,1.362,1.5345,1
25/3/1996,1.3624,1.5245,1
26/3/1996,1.3635,1.526,1
27/3/1996,1.3633,1.5217,1
28/3/1996,1.3632,1.5198,1
29/3/1996,1.3632,1.5254,1
1/4/1996,1.3547,1.526,1
2/4/1996,1.3556,1.5264,1
3/4/1996,1.3569,1.526,1
4/4/1996,1.358,1.526,1
5/4/1996,null,null,1
8/4/1996,1.3581,null,1
9/4/1996,1.3587,1.5265,1
10/4/1996,1.3568,1.5204,1
11/4/1996,1.3564,1.5117,1
12/4/1996,1.3565,1.5132,1
15/4/1996,1.356,1.5073,1
16/4/1996,1.3571,1.5095,1
17/4/1996,1.3564,1.5064,1
18/4/1996,1.3614,1.5098,1
19/4/1996,1.3613,1.5198,1
22/4/1996,1.3623,1.5128,1
23/4/1996,1.3621,1.5118,1
24/4/1996,1.3618,1.5138,1
25/4/1996,1.3643,1.5096,1
26/4/1996,1.3626,1.5085,1
29/4/1996,1.3626,1.513,1
30/4/1996,1.3614,1.5081,1
1/5/1996,1.3623,1.4978,1
2/5/1996,1.362,1.498,1
3/5/1996,1.363,1.5018,1
6/5/1996,1.3655,null,1
7/5/1996,1.3664,1.5087,1
8/5/1996,1.3681,1.5125,1
9/5/1996,1.3675,1.5211,1
10/5/1996,1.3663,1.5283,1
13/5/1996,1.3683,1.5166,1
14/5/1996,1.37,1.5168,1
15/5/1996,1.3683,1.5169,1
16/5/1996,1.368,1.5133,1
17/5/1996,1.3698,1.5128,1
20/5/1996,null,1.512,1
21/5/1996,1.3723,1.5134,1
22/5/1996,1.3722,1.5103,1
23/5/1996,1.3751,1.5101,1
24/5/1996,1.3743,1.5137,1
28/5/1996,1.3733,null,1
29/5/1996,1.3764,1.5104,1
30/5/1996,1.3715,1.5166,1
31/5/1996,1.3681,1.5355,1
3/6/1996,1.3689,1.5475,1
4/6/1996,1.369,1.551,1
5/6/1996,1.3657,1.5462,1
6/6/1996,1.3642,1.5432,1
7/6/1996,1.3667,1.5488,1
10/6/1996,1.3638,1.535,1
11/6/1996,1.3653,1.536,1
12/6/1996,1.3666,1.5357,1
13/6/1996,1.3687,1.534,1
14/6/1996,1.3661,1.5385,1
17/6/1996,1.3663,1.5448,1
18/6/1996,1.3688,1.5467,1
19/6/1996,1.368,1.5449,1
20/6/1996,1.3672,1.5409,1
21/6/1996,1.3652,1.5407,1
24/6/1996,1.3611,1.5399,1
25/6/1996,1.3595,1.5402,1
26/6/1996,1.3609,1.541,1
27/6/1996,1.3628,1.5415,1
28/6/1996,1.3651,1.5485,1
1/7/1996,null,1.5539,1
2/7/1996,1.3633,1.5555,1
3/7/1996,1.3608,1.5572,1
4/7/1996,1.3592,1.561,1
5/7/1996,1.3679,1.5561,1
8/7/1996,1.3708,1.5527,1
